University,LG_State,City,GrantType,Total_Morrill_Acres_Found,Adjusted_Endow_Raised_1914,Remaining_SurfaceAcres,FY19_TotalSurfaceRoyalties,Remaining_MineralAcres,FY19_TotalMineralRoyalties,Perc_Remain_SurfaceAcres,Perc_Remain_MineralAcres,Retention_Notes,Retention_Notes_Source
University of Arizona,AZ,Tuscon,Land,"143,684","$450,000",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"The Arizona State Land Department can provide a list of available Trust Land where the University of Arizona is a beneficiary, however our agency database does not reflect whether said Trust Land was granted to Arizona under the 1862 Morrill Act.",Arizona State Land Department
University of California,CA,Berkeley,Land,"150,525","$732,233",0,0,441.6," $	1,947.00 ",0%,0.3%,"University of California mineral assets are managed by Farmers National. According to Farmers, UC received $1,947 in gross income from Holmes Wester Oil in Kings County, Calif. The Congressional lands are designated as E-104071-04927 and E-239596-34927. According to our records, this is the total income received from 2006 to the present. We don’t have income records before 2006. Note that it was commonplace for UC to retain mineral rights when selling property, but except for the case mentioned above, in most cases retention of mineral rights did not generate income.",University of California Office of the President
Colorado State University,CO,Fort Collins,Land,"89,321","$185,956","19,130"," $	77,526.00 ","42,572"," $	662,596.00 ",21%,48%,"The Colorado State Land Board owns and stewards 2.8 million acres of land and 4 million acres of mineral estate, and we lease these assets to help fund trust beneficiaries, including Colorado State University. There are eight trust beneficiaries, and we have earned $1.7 billion for beneficiaries collectively since 2008. The largest trust beneficiary is Colorado common schools: we are very proud to be the primary funding for the Colorado Department of Education’s Building Excellent Today Program (BEST), which provides capital construction grants to public K-12 schools.",Colorado State Land Board
University of Idaho,ID,Moscow,Land,"87,445","$129,615","33,527"," $	358,258.00 ","70,000"," $	1,188.00 ",38%,80%,"Over the years, nearly two-thirds of the original 90,000 acres of Agricultural College endowment lands were sold or exchanged. Today the Idaho Department of Lands actively manages approximately 33,527 acres owned by the Agricultural College Endowment.",Idaho Department of Lands
Kansas State University,KS,Manhattan,Land,"87,290","$491,746",0,0,"6,080"," $	163,344.53 ",0%,7%,"The state of Kansas is still in possession of 6,080 mineral acres originally associated with Morrill Act parcels. The accumulated royalty earnings reside in an endowed fund, which produced interest earnings of $163,344.53 in FY19 for the benefit of K-State.",Kansas State University
University of Minnesota,MN,Minneapolis,Land,"94,631","$579,430",0,0,240,0,0%,0%,"Just as water rights can be retained as a separate ownership interest in a parcel, mineral rights can also be owned separately from the surface estate. Often this ownership condition is described as a split estate parcel, and specifically for minerals the retained mineral rights ownership is referred to as a severed mineral interest. The state of Minnesota passed a law in 1902 under which the state retains mineral rights that it possesses, and this law has affected the last six 40-acre parcels of Morrill Act lands sold by the state. So yes, the state no longer possesses any surface acres originally granted to the state under the Morrill Act, but it does still own the mineral rights in six parcels.",Minnesota Department of Natural Resources
University of Missouri,MO,Columbia,Land,"270,613","$363,441","14,787",UNKNOWN,0,0,5%,0%,"We scoured our documents and found that we had sold approximately 3,073.29 acres since 1963, which would leave us with approximately 14,787 acres. We were able to review our records and the University of Missouri does not own any mineral acres that are associated with the Morrill Act. No revenue reports were provided for surface acres despite multiple requests.",University of Missouri
Montana State University,MT,Bozeman,Land,"140,385","$533,149","63,474"," $	623,941.00 ","77,929"," $	6,670.00 ",45%,56%,"The Morrill trust Act of 1862 granted each state 30,000 acres per senator and representative in the congress. For Montana, per the Enabling Act, section 16, the state was granted 90,000 acres for the Agricultural College (Montana State University). This would represent the Morrill Trust acres. We refer to this trust as the Montana State University – Morrill Trust. A second grant of 50,000 acres was also made to the agricultural college (Enabling Act, Section 17). This trust we refer to as Montana State University – Second Grant.",Montana Department of Natural Resources and Conservation
North Dakota State University,ND,Fargo,Land,"130,471","$455,924","15,117"," $	308,142.00 ","66,109"," $	2,874,800.00 ",12%,51%,"Based upon a 1998 memo, since statehood all but 15,117 acres of the grant have been sold.",North Dakota Commissioner of University & School Lands
University of Nebraska,NE,Lincoln,Land,"89,920","$560,072","6,173"," $	426,618.61 ",0,0,7%,0%,"Nebraska does not have any Mineral Leases on the land from the original Morrill Act grant, so therefore there is no revenue to report. As for the Revenue for the surface (Agricultural) leases for F19 was $426,618.61.",Nebraska Board of Educational Lands and Funds
